Point	X (cm)	Y (cm)	Z (cm)		
Adductor femoris origin	 6.72	 0.50	 1.94
Adductor longus origin	 5.47	 0.66	 2.21
Biceps femoris origin	 6.84	 0.31	 -0.16
Caudofemoralis origin	 5.19	 0.88	 -0.73
Contralateral iliac crest	 -0.03	 2.78	 0.00
Femoral head	 3.62	 0.20	 1.18
Gluteus maximus origin	 1.70	 2.94	 1.51
Gluteus medius origin	 0.30	 -0.09	 -0.38
Gluteus minimus origin	 0.85	 -0.22	 0.29
Gacilis origin	 6.71	 0.83	 0.84
Ipsilateral iliac crest	 0.00	 0.00	 0.00
Ipsilateral ischial tuberosity	 7.37	 0.00	 0.00
Iliopsoas origin	 -2.03	 2.05	 1.80
Pectineus origin	 4.77	 0.33	 1.13
Psoas minor origin	 -2.32	 0.64	 2.01
Pyriformis origin	 4.03	 0.64	 -0.35
Quadratus femoris origin	 7.09	 -0.27	 -0.10
Rectus femoris origin	 3.48	 -0.04	 0.65
Sartorius origin	 1.46	 1.52	 1.45
Semimembranosus origin	 7.49	 0.25	 0.22
Semitendinosus origin	 7.37	 -0.06	 -0.01